WT	Shuf1		
4.5e+007	4.2036e+007		
7.5e+008	7.0900e+008		
8.7e+008	1.0100e+009		
2.0e+009	1.7600e+009		
0.0	0.0000		
1.1e+009	8.6500e+008		
6.4e+009	1.0400e+010		
2.2e+009	3.6700e+009		
1.3e+010	1.4200e+010		
8.2e+008	7.6600e+008		
4.1e+007	0.0000		
5.2e+008	5.7200e+008		
0.0	0.0000		
6.1e+008	5.6800e+008		
2.7e+009	2.5400e+009		
0.0	7395700.0000		
1.1e+008	1.1600e+008		
0.0	0.0000		
2.1e+007	2.0151e+007		
1.5e+008	1.6900e+008		
4.3e+007	4.5203e+007		
4.7e+007	6.2650e+007		
1.6e+008	1.6100e+008		
2.9e+008	2.7100e+008		
2.7e+008	2.3700e+008		
1.1e+008	1.1600e+008		
1.8e+008	1.9700e+008		
0.0	0.0000		
0.0	0.0000		
0.0	0.0000		
4.9e+007	6.5164e+007		
5.3e+008	7.3700e+008		
0.0	0.0000		
0.0	3.8160e+007		
1.3e+008	3.2600e+008		
1.9e+007	0.0000		
1.1e+009	1.0400e+009		
7.0e+009	5.5600e+009		
1.4e+007	1.3693e+007		
9.6e+007	9.9750e+007		
3.1e+007	4.6578e+007		
1.6e+008	1.3800e+008		
0.0	0.0000		
5.8e+008	5.3100e+008		
2.3e+008	2.7400e+008		
2.0e+009	1.8300e+009		
1.2e+008	1.7600e+008		
4.0e+009	3.5600e+009		
1.1e+010	8.9600e+009		
8.1e+007	8.5625e+007		
2.0e+008	2.0700e+008		
2.0e+007	2.2772e+007		
9.0e+007	0.0000		
0.0	0.0000		
6.1e+007	6.1500e+007		
3.2e+009	2.9300e+009		
3.0e+008	3.7300e+008		
1.3e+009	1.3300e+009		
2.0e+009	1.8500e+009		
2.3e+008	1.8800e+008		
3.3e+008	2.7700e+008		
1.2e+008	0.0000		
2.7e+008	2.3400e+008		
2.5e+009	2.6700e+009		
0.0	0.0000		
1.3e+008	1.8600e+008		
0.0	0.0000		
1.8e+008	3.5100e+008		
6.0e+008	4.7600e+008		
3.7e+008	3.7400e+008		
1.3e+008	1.4400e+008		
1.1e+009	1.2100e+009		
4.2e+007	8.2996e+007		
3.0e+009	2.5300e+009		
2.1e+008	1.8800e+008		
2.9e+007	0.0000		
3.8e+008	3.2200e+008		
2.6e+008	2.4700e+008		
6.7e+008	5.5100e+008		
1.8e+008	2.7400e+008		
2.7e+008	2.7500e+008		
1.4e+009	1.6300e+009		
1.3e+008	2.0800e+008		
0.0	0.0000		
0.0	0.0000		
0.0	0.0000		
0.0	1.6900e+008		
0.0	4.8094e+007		
1.5e+008	1.3200e+008		
6.9e+009	7.0500e+009		
9.1e+009	8.7900e+009		
1.3e+009	1.7800e+009		
6.4e+009	7.4500e+009		
1.2e+008	1.5200e+008		
3.7e+008	3.3000e+008		
2.2e+008	2.2400e+008		
5.1e+010	3.9400e+010		
8.1e+008	7.0500e+008		
2.2e+009	2.6100e+009		
5.6e+008	5.8900e+008		
2.2e+008	1.5300e+008		
2.6e+008	3.2800e+008		
2.0e+008	1.9100e+008		
2.5e+009	2.3900e+009		
1.6e+007	0.0000		
2.5e+008	2.0100e+008		
0.0	0.0000		
2.7e+008	2.0900e+008		
6.1e+007	8.8189e+007		
1.4e+009	1.1200e+009		
1.5e+008	1.7000e+008		
5.3e+007	5.5604e+007		
6.3e+008	7.2400e+008		
4.9e+008	4.4800e+008		
5.1e+007	5.8597e+007		
6.3e+009	6.6300e+009		
6.1e+007	6.2363e+007		
4.2e+008	4.0900e+008		
2.9e+007	0.0000		
