"Wavelength (nm)"	WT-ssrA	WT
200.2	9.473619	10.205130
200.1	9.584072	10.374440
200.0	9.540031	10.465100
199.9	9.336617	10.470100
199.8	9.394576	10.368230
199.7	9.258522	10.270720
199.6	9.512725	10.208940
199.5	9.472046	10.317140
199.4	9.460695	10.571330
199.3	9.374067	10.550520
199.2	9.510493	10.555610
199.1	9.652143	10.714560
199.0	9.455564	10.861030
198.9	9.581286	11.073490
198.8	9.523322	11.363630
198.7	9.547005	11.423030
198.6	9.587969	11.237150
198.5	9.487198	11.036510
198.4	9.248620	11.199580
198.3	8.960309	11.292040
198.2	8.754859	11.441690
198.1	8.397971	11.543560
198.0	8.274691	11.516330
197.9	8.112051	11.517920
197.8	7.541193	11.568200
197.7	7.210308	11.589650
197.6	7.115384	11.633700
197.5	7.159482	11.738670
197.4	7.205600	11.679580
197.3	7.281130	11.499440
197.2	7.066317	11.276330
197.1	6.544824	11.190170
197.0	6.547702	11.098850
196.9	6.328264	11.259850
196.8	5.949390	11.384380
196.7	5.108119	11.200190
196.6	4.891403	11.001070
196.5	4.609884	10.886000
196.4	4.409171	11.041340
196.3	4.474950	10.976680
196.2	4.472413	10.670730
196.1	4.615601	10.336970
196.0	4.369876	10.111110
195.9	4.341775	9.828229
195.8	4.411401	9.544503
195.7	4.294878	9.438870
195.6	4.356507	9.214149
195.5	4.129727	8.890838
195.4	3.841661	8.823866
195.3	3.835287	8.995856
195.2	3.753317	9.139310
195.1	3.845326	8.953425
195.0	4.100094	9.068561
194.9	4.168222	9.293690
194.8	4.108726	9.521135
194.7	4.140205	9.459095
194.6	4.038555	9.252942
194.5	4.069021	8.924279
194.4	3.831503	8.383992
194.3	3.637878	7.953490
194.2	3.475804	7.919116
194.1	3.143832	7.439632
194.0	2.706582	6.754371
193.9	2.258854	6.411064
193.8	2.287331	6.217618
193.7	2.122267	6.194859
193.6	1.786883	6.392210
193.5	1.903429	6.698972
193.4	2.027515	6.443916
193.3	2.088482	6.203392
193.2	2.782999	6.145544
193.1	3.337049	5.999053
193.0	3.248784	6.022577
192.9	3.452455	6.288992
192.8	4.059363	5.999767
192.7	4.161515	5.792547
192.6	4.544580	5.532223
192.5	4.324202	5.340241
192.4	3.632007	5.149349
192.3	3.163644	5.221575
192.2	3.261233	5.282020
192.1	3.474365	5.266255
192.0	3.318192	5.293799
191.9	2.911764	5.191885
191.8	2.670578	4.929118
191.7	2.642092	5.122663
191.6	3.374507	5.200043
191.5	3.205519	5.352743
191.4	3.193101	5.026903
191.3	3.206522	4.778861
191.2	3.131725	4.543751
191.1	3.107911	4.453090
191.0	3.224448	4.507499
190.9	2.606046	4.721742
190.8	2.064990	4.751612
190.7	1.537402	4.636205
190.6	1.596224	4.687309
190.5	1.095286	4.604836
190.4	0.780250	4.640080
190.3	0.771740	5.027267
190.2	0.800707	4.979600
190.1	1.024555	4.287092
190.0	1.386774	4.152802
