"Wavelength (nm)"	WT	Shuf1	FEBS
204.1	1.654355	0.234155	0.247918
204.0	1.829510	0.281627	0.173996
203.9	2.221311	0.279809	0.491033
203.8	2.384308	0.319817	0.804927
203.7	2.481899	0.244692	0.939315
203.6	2.440205	0.461403	0.903426
203.5	2.501553	0.624504	1.050461
203.4	2.395675	0.635841	1.389660
203.3	2.517971	0.649643	1.764696
203.2	2.638969	0.882242	2.324761
203.1	2.693500	1.251970	2.866815
203.0	3.034646	1.527482	3.316447
202.9	3.356001	1.989010	3.706386
202.8	3.756923	2.503172	4.147141
202.7	4.071479	2.768485	4.743294
202.6	4.445013	3.143231	5.046260
202.5	4.825640	3.568975	5.099349
202.4	5.115912	3.753108	5.151711
202.3	5.395745	3.983410	5.069107
202.2	5.684669	4.179980	5.166358
202.1	5.957121	4.258117	5.380446
202.0	6.161337	4.266157	5.548053
201.9	6.277687	4.192728	5.512020
201.8	6.430776	4.336694	5.573905
201.7	6.646589	4.436868	5.741618
201.6	6.854976	4.555096	5.992465
201.5	7.034703	4.830758	6.122684
201.4	7.246822	4.921325	6.340049
201.3	7.486317	5.123645	6.476684
201.2	7.589304	5.461922	6.705483
201.1	7.842717	5.730323	7.260516
201.0	8.137909	6.071776	7.827668
200.9	8.205358	6.445075	8.184631
200.8	8.221732	6.837860	8.299248
200.7	8.314267	7.146231	8.433449
200.6	8.506931	7.429713	8.397431
200.5	8.429248	7.533694	8.266289
200.4	8.378347	7.476389	8.260596
200.3	8.415728	7.440977	8.310800
200.2	8.428995	7.432405	8.344363
200.1	8.709713	7.390807	8.355740
200.0	9.175084	7.297754	8.660097
199.9	9.588615	7.449432	9.235929
199.8	9.790635	7.759081	9.881853
199.7	9.872642	8.190588	10.707760
199.6	10.306180	8.606110	11.387560
199.5	10.890680	9.103932	11.776290
199.4	11.410380	9.659138	11.738010
199.3	11.839780	9.882559	11.974230
199.2	12.182010	10.123960	12.412220
199.1	12.561740	10.436240	12.557120
199.0	12.942210	10.665990	12.665530
198.9	13.369370	10.628580	12.289810
198.8	13.379490	10.645740	11.949070
